restaurant_name,address,city,phone,pos_system,pos_confidence,equipment_age_estimate,replacement_score,verified_contact,contact_phone,last_inspection_date,review_sentiment,pos_mentions_in_reviews
Golden Tavern,8353 Main,San Francisco,(997) 230-6153,Square,92%,5 years,82,IT Manager,(846) 943-4294,2026-01-18,Mixed,12
La Bistro,6801 Main,Los Angeles,(847) 268-5620,Toast,92%,4 years,52,IT Manager,(344) 962-9902,2024-07-02,Positive,1
Golden Grill,534 Market,San Diego,(871) 627-3636,Revel,83%,5 years,72,Owner,(528) 171-9486,2024-08-16,Positive,6
Golden Kitchen,6175 Market,Los Angeles,(450) 562-7343,Aloha,77%,2 years,52,GM,(214) 213-4117,2025-03-10,Positive,8
La Kitchen,9866 Market,San Francisco,(418) 856-2986,Aloha,97%,2 years,90,Owner,(719) 512-2334,2026-01-21,Positive,15
Golden Bistro,9235 Main,Los Angeles,(860) 842-5861,Aloha,96%,6 years,95,Owner,(402) 378-5365,2026-09-02,Negative,6
Golden Grill,8354 Market,San Diego,(434) 991-7644,Revel,92%,5 years,28,GM,(645) 613-6061,2024-12-28,Mixed,10
La Grill,4237 Broadway,San Diego,(610) 286-7446,Revel,98%,5 years,64,Owner,(661) 118-4187,2024-08-13,Negative,11
La Kitchen,4355 1st Ave,San Diego,(863) 498-7350,Toast,97%,7 years,78,IT Manager,(483) 788-3118,2024-05-01,Positive,0
La Bistro,3108 Market,San Diego,(720) 401-9141,Square,78%,4 years,88,Owner,(379) 695-5965,2024-09-10,Negative,9
Golden Grill,9370 Main,San Diego,(653) 889-9380,Revel,87%,8 years,55,IT Manager,(559) 276-6402,2026-09-03,Negative,7
The Tavern,4129 Broadway,Los Angeles,(483) 149-1357,Revel,96%,8 years,33,Owner,(593) 658-6071,2024-10-10,Positive,15
La Tavern,5735 1st Ave,San Francisco,(674) 340-1649,Square,77%,6 years,87,Owner,(907) 471-8335,2026-06-18,Positive,0
The Grill,2323 Main,San Francisco,(313) 752-4762,Aloha,94%,4 years,67,Owner,(467) 100-1581,2024-12-26,Neutral,6
Golden Bistro,697 Broadway,Los Angeles,(545) 814-2457,Clover,95%,2 years,90,IT Manager,(201) 190-8729,2026-10-22,Positive,10
La Grill,1355 1st Ave,San Diego,(540) 861-3230,Toast,82%,4 years,41,GM,(424) 987-1826,2025-11-04,Mixed,11
The Bistro,8736 Broadway,Los Angeles,(361) 850-9465,Aloha,91%,2 years,43,IT Manager,(264) 646-7956,2024-03-01,Negative,7
Golden Grill,524 Market,San Francisco,(913) 241-5297,Aloha,81%,5 years,33,Owner,(342) 841-8798,2025-12-22,Mixed,10
The Tavern,4983 Main,San Diego,(264) 342-8847,Aloha,93%,4 years,66,Owner,(697) 613-3378,2026-10-01,Positive,0
La Tavern,5231 Broadway,San Diego,(654) 745-1169,Toast,93%,6 years,59,Owner,(290) 523-9101,2025-03-28,Mixed,4
La Kitchen,2829 Main,Los Angeles,(868) 169-2101,Aloha,93%,7 years,63,GM,(980) 736-8002,2026-05-27,Mixed,5
Golden Tavern,4261 Market,Los Angeles,(274) 361-3585,Aloha,92%,7 years,67,IT Manager,(746) 835-8343,2026-05-19,Mixed,13
Golden Bistro,3184 1st Ave,Los Angeles,(808) 292-6223,Square,83%,6 years,77,IT Manager,(621) 387-9633,2025-10-19,Mixed,14
The Kitchen,3591 Main,Los Angeles,(730) 575-7158,Aloha,83%,2 years,51,Owner,(633) 891-4026,2024-10-15,Negative,5
The Tavern,5206 1st Ave,San Diego,(344) 690-3919,Aloha,95%,2 years,86,Owner,(276) 571-6674,2026-09-23,Negative,10
The Grill,1348 Main,Los Angeles,(233) 885-2096,Aloha,89%,6 years,42,Owner,(361) 321-5894,2025-10-24,Negative,4
The Bistro,2440 1st Ave,San Diego,(515) 359-9990,Square,89%,4 years,30,GM,(924) 137-1238,2025-12-04,Positive,8
La Kitchen,5424 Broadway,San Francisco,(684) 601-2240,Toast,81%,4 years,53,IT Manager,(970) 631-3807,2026-07-20,Mixed,1
