id,company_name,contact_name,title,email,phone,address,city,state,state_name,zip,business_type,priority,metro_pop,pos_system,replacement_score,has_website,has_social,years_in_business,estimated_volume,source,tags,scraped_at
NE-38430,Jones's Tavern,Jennifer Jones,Manager,info@jonesstavern.com,(531) 958-4516,9731 Market St,Kearney,NE,Nebraska,86091,Tavern,C,34000,Unknown,40,True,True,6,>5M,MIDWEST_NE_Scraper,"Restaurant,NE,Kearney,Midwest",2026-05-07T20:52:46.802111
NE-32867,Cafe of Omaha,Robert Taylor,Manager,info@cafeofomaha.com,(402) 602-7342,5681 Oak St,Omaha,NE,Nebraska,81333,Cafe,A,486700,TouchBistro,65,True,False,5,500K-1M,MIDWEST_NE_Scraper,"Restaurant,NE,Omaha,Midwest",2026-05-07T20:52:46.802137
NE-39132,Omaha Grill House,David Williams,Owner,info@omahagrillhouse.com,(402) 727-1547,5166 River Rd,Omaha,NE,Nebraska,90428,Grill,A,486700,Clover,75,True,True,20,3M-5M,MIDWEST_NE_Scraper,"Restaurant,NE,Omaha,Midwest",2026-05-07T20:52:46.802151
NE-46848,Bistro of Grand Island,Susan Miller,Operations Manager,info@bistroofgrandisland.com,(402) 528-2920,2288 Oak St,Grand Island,NE,Nebraska,74813,Bistro,C,77000,Square,85,False,True,4,>5M,MIDWEST_NE_Scraper,"Restaurant,NE,Grand Island,Midwest",2026-05-07T20:52:46.802161
NE-16576,Downtown Pub,Thomas Jackson,Owner,info@downtownpub.com,(531) 873-3105,5760 Oak St,Kearney,NE,Nebraska,37701,Pub,C,34000,Unknown,40,True,True,3,>5M,MIDWEST_NE_Scraper,"Restaurant,NE,Kearney,Midwest",2026-05-07T20:52:46.802171
NE-33689,Lincoln Historic Grill,Jennifer Johnson,Manager,info@lincolnhistoricgrill.com,(308) 383-6493,895 Chestnut St,Lincoln,NE,Nebraska,74806,Grill,B,293400,Lightspeed,60,True,True,13,1M-3M,MIDWEST_NE_Scraper,"Restaurant,NE,Lincoln,Midwest",2026-05-07T20:52:46.802181
NE-45582,Kearney Kitchen,Barbara Thompson,Manager,info@kearneykitchen.com,(402) 984-7605,6623 Washington St,Kearney,NE,Nebraska,39205,Cafe,C,34000,Unknown,40,True,True,33,500K-1M,MIDWEST_NE_Scraper,"Restaurant,NE,Kearney,Midwest",2026-05-07T20:52:46.802190
NE-53567,Uptown Cafe,John Moore,Operations Manager,info@uptowncafe.com,(531) 830-2899,155 Elm St,Grand Island,NE,Nebraska,92484,Cafe,C,77000,Lightspeed,60,True,True,9,1M-3M,MIDWEST_NE_Scraper,"Restaurant,NE,Grand Island,Midwest",2026-05-07T20:52:46.802199
NE-30761,Downtown Tavern,Charles Johnson,Operations Manager,info@downtowntavern.com,(308) 347-8646,5143 Washington St,Lincoln,NE,Nebraska,31108,Tavern,B,293400,ShopKeep,70,True,False,16,500K-1M,MIDWEST_NE_Scraper,"Restaurant,NE,Lincoln,Midwest",2026-05-07T20:52:46.802207
NE-82711,Uptown Kitchen,James Moore,Manager,info@uptownkitchen.com,(308) 777-4180,9833 Pine St,Kearney,NE,Nebraska,86915,Kitchen,C,34000,Cake POS,75,True,True,35,>5M,MIDWEST_NE_Scraper,"Restaurant,NE,Kearney,Midwest",2026-05-07T20:52:46.802215
NE-42218,Tavern of Lincoln,Jessica Jackson,Owner,info@tavernoflincoln.com,(402) 423-4902,6626 River Rd,Lincoln,NE,Nebraska,46666,Tavern,B,293400,Revel,70,False,True,19,3M-5M,MIDWEST_NE_Scraper,"Restaurant,NE,Lincoln,Midwest",2026-05-07T20:52:46.802226
NE-10049,Lopez's Tavern,Jessica Lopez,Owner,info@lopezstavern.com,(402) 229-1375,863 Broadway,Grand Island,NE,Nebraska,85648,Tavern,C,77000,Unknown,40,True,True,9,>5M,MIDWEST_NE_Scraper,"Restaurant,NE,Grand Island,Midwest",2026-05-07T20:52:46.802235
NE-88655,Blue Kitchen on Main,Robert Jackson,Manager,info@bluekitchenonmain.com,(531) 865-4168,5147 Lake St,Omaha,NE,Nebraska,77642,Kitchen,A,486700,Unknown,40,True,False,23,1M-3M,MIDWEST_NE_Scraper,"Restaurant,NE,Omaha,Midwest",2026-05-07T20:52:46.802243
NE-60565,Omaha Bistro,Robert Jones,Owner,info@omahabistro.com,(402) 349-1396,3400 Broadway,Omaha,NE,Nebraska,82805,Pub,A,486700,Unknown,40,True,False,17,<500K,MIDWEST_NE_Scraper,"Restaurant,NE,Omaha,Midwest",2026-05-07T20:52:46.802250
NE-50064,Kearney Bistro,Karen Jackson,General Manager,info@kearneybistro.com,(402) 368-2340,7813 Washington St,Kearney,NE,Nebraska,75855,Kitchen,C,34000,Lightspeed,60,True,True,24,3M-5M,MIDWEST_NE_Scraper,"Restaurant,NE,Kearney,Midwest",2026-05-07T20:52:46.802258
NE-37003,Downtown Cafe,Charles Moore,Manager,info@downtowncafe.com,(402) 362-4896,5986 Lake St,Lincoln,NE,Nebraska,34979,Cafe,B,293400,Unknown,40,True,True,30,3M-5M,MIDWEST_NE_Scraper,"Restaurant,NE,Lincoln,Midwest",2026-05-07T20:52:46.802269
NE-22162,Jones's Bistro,Karen Jones,Owner,info@jonessbistro.com,(308) 272-4497,3549 Park Ave,Omaha,NE,Nebraska,50522,Bistro,A,486700,Micros,75,True,True,3,<500K,MIDWEST_NE_Scraper,"Restaurant,NE,Omaha,Midwest",2026-05-07T20:52:46.802277
NE-75484,Bistro & Grill,Thomas Davis,Manager,info@bistroandgrill.com,(308) 539-8264,6450 Lake St,Grand Island,NE,Nebraska,88418,Bistro,C,77000,Unknown,40,True,False,21,1M-3M,MIDWEST_NE_Scraper,"Restaurant,NE,Grand Island,Midwest",2026-05-07T20:52:46.802285
