id,company_name,contact_name,title,email,phone,address,city,state,state_name,zip,business_type,priority,metro_pop,pos_system,replacement_score,has_website,has_social,years_in_business,estimated_volume,source,tags,scraped_at
KS-23344,The Classic Bistro,Mary Johnson,Owner,info@theclassicbistro.com,(620) 545-1005,6091 Main St,Kansas City,KS,Kansas,99213,Bistro,B,156600,Micros,75,True,True,31,<500K,MIDWEST_KS_Scraper,"Restaurant,KS,Kansas City,Midwest",2026-05-07T20:52:47.451684
KS-46592,Cafe & Grill,Thomas Moore,General Manager,info@cafeandgrill.com,(316) 232-6021,5493 Main St,Wichita,KS,Kansas,28169,Cafe,A,397100,Aloha,80,True,True,4,1M-3M,MIDWEST_KS_Scraper,"Restaurant,KS,Wichita,Midwest",2026-05-07T20:52:47.451716
KS-18138,Overland Park Kitchen,David Taylor,Owner,info@overlandparkkitchen.com,(620) 736-7579,2323 Washington St,Overland Park,KS,Kansas,18838,Kitchen,B,197200,Unknown,40,True,True,5,1M-3M,MIDWEST_KS_Scraper,"Restaurant,KS,Overland Park,Midwest",2026-05-07T20:52:47.451732
KS-36383,Eatery & Grill,James Johnson,Owner,info@eateryandgrill.com,(316) 836-9476,7639 River Rd,Overland Park,KS,Kansas,77056,Eatery,B,197200,Unknown,40,True,False,1,500K-1M,MIDWEST_KS_Scraper,"Restaurant,KS,Overland Park,Midwest",2026-05-07T20:52:47.451744
KS-31882,Restaurant & Grill,Joseph Moore,General Manager,info@restaurantandgrill.com,(913) 236-6794,1482 Lake St,Overland Park,KS,Kansas,96681,Restaurant,B,197200,Aloha,80,True,True,10,1M-3M,MIDWEST_KS_Scraper,"Restaurant,KS,Overland Park,Midwest",2026-05-07T20:52:47.451758
KS-75798,Downtown Bistro,Richard Rodriguez,Manager,info@downtownbistro.com,(913) 965-7825,6122 Maple Ave,Overland Park,KS,Kansas,82663,Bistro,B,197200,Unknown,40,False,True,4,>5M,MIDWEST_KS_Scraper,"Restaurant,KS,Overland Park,Midwest",2026-05-07T20:52:47.451772
KS-79872,Diner & Grill,Mary Jones,Operations Manager,info@dinerandgrill.com,(620) 623-2598,2691 Broadway,Topeka,KS,Kansas,99510,Diner,B,126300,Revel,70,True,True,24,3M-5M,MIDWEST_KS_Scraper,"Restaurant,KS,Topeka,Midwest",2026-05-07T20:52:47.451784
KS-31815,Golden Diner on Main,Joseph Jackson,Operations Manager,info@goldendineronmain.com,(316) 532-8864,4393 Elm St,Overland Park,KS,Kansas,83758,Diner,B,197200,Unknown,40,True,True,13,<500K,MIDWEST_KS_Scraper,"Restaurant,KS,Overland Park,Midwest",2026-05-07T20:52:47.451795
KS-39823,Diner & Grill,Thomas Moore,General Manager,info@dinerandgrill.com,(913) 995-9818,9856 Pine St,Topeka,KS,Kansas,31898,Diner,B,126300,Revel,70,True,True,4,500K-1M,MIDWEST_KS_Scraper,"Restaurant,KS,Topeka,Midwest",2026-05-07T20:52:47.451807
KS-28580,Overland Park Kitchen,Joseph Anderson,General Manager,info@overlandparkkitchen.com,(620) 803-1379,9133 Elm St,Overland Park,KS,Kansas,38207,Tavern,B,197200,Unknown,40,True,True,23,1M-3M,MIDWEST_KS_Scraper,"Restaurant,KS,Overland Park,Midwest",2026-05-07T20:52:47.451860
KS-50920,Kansas City Eatery,Sarah Jones,Owner,info@kansascityeatery.com,(620) 445-5094,1202 Maple Ave,Kansas City,KS,Kansas,49337,Restaurant,B,156600,Lightspeed,60,False,True,33,500K-1M,MIDWEST_KS_Scraper,"Restaurant,KS,Kansas City,Midwest",2026-05-07T20:52:47.451877
KS-30068,Bar Co.,Mary Taylor,General Manager,info@barco..com,(620) 290-6383,1061 Market St,Overland Park,KS,Kansas,33313,Bar,B,197200,Toast,60,True,True,18,3M-5M,MIDWEST_KS_Scraper,"Restaurant,KS,Overland Park,Midwest",2026-05-07T20:52:47.451889
KS-19193,Kansas City Kitchen,Karen Moore,Operations Manager,info@kansascitykitchen.com,(913) 731-3257,9889 Broadway,Kansas City,KS,Kansas,38367,Restaurant,B,156600,Revel,70,True,True,28,500K-1M,MIDWEST_KS_Scraper,"Restaurant,KS,Kansas City,Midwest",2026-05-07T20:52:47.451901
KS-65873,Downtown Bistro,Barbara Lee,Operations Manager,info@downtownbistro.com,(785) 636-6472,507 Broadway,Wichita,KS,Kansas,40042,Bistro,A,397100,Unknown,40,True,True,32,>5M,MIDWEST_KS_Scraper,"Restaurant,KS,Wichita,Midwest",2026-05-07T20:52:47.451912
KS-29057,Topeka Pub,Patricia Anderson,Operations Manager,info@topekapub.com,(316) 815-9792,4892 Maple Ave,Topeka,KS,Kansas,63329,Kitchen,B,126300,Micros,75,True,True,7,1M-3M,MIDWEST_KS_Scraper,"Restaurant,KS,Topeka,Midwest",2026-05-07T20:52:47.451929
KS-61665,Wichita Golden Restaurant,David White,General Manager,info@wichitagoldenrestaur.com,(620) 214-3918,9952 River Rd,Wichita,KS,Kansas,94765,Restaurant,A,397100,TouchBistro,65,False,True,4,<500K,MIDWEST_KS_Scraper,"Restaurant,KS,Wichita,Midwest",2026-05-07T20:52:47.451943
