Company Name,Website,Employee Count,Decision Maker,Email,Phone,Source,Priority
Anthropic,anthropic.com,85,CEO - Dario Amodei,contact@anthropic.com,,Company Website,High
OpenAI,openai.com,500,CEO - Sam Altman,press@openai.com,,Company Website,High
Cohere,cohere.com,250,CEO - Aidan Gomez,info@cohere.com,,Company Website,High
Runway ML,runwayml.com,150,CEO - Cristobal Valenzuela,hello@runwayml.com,,Company Website,High
Scale AI,scale.com,450,CEO - Alexandr Wang,info@scale.com,,Company Website,High
Hugging Face,huggingface.co,200,CEO - Clement Delangue,api-enterprise@huggingface.co,,Company Website,High
Stability AI,stability.ai,180,CEO - Prem Akkaraju,enterprise@stability.ai,,Company Website,High
Jasper AI,jasper.ai,120,CEO - Timothy Young,hello@jasper.ai,,Company Website,High
Copy.ai,copy.ai,95,CEO - Paul Yacoubian,hello@copy.ai,,Company Website,High
Synthesia,synthesia.io,280,CEO - Victor Riparbelli,enterprise@synthesia.io,,Company Website,High
Moveworks,moveworks.com,320,CEO - Bhavin Shah,info@moveworks.com,,Company Website,High
Glean,glean.com,350,CEO - Arvind Jain,hello@glean.com,,Company Website,High
Inflection AI,inflection.ai,75,CEO - Sean White,hello@inflection.ai,,Company Website,High
Adept AI,adept.ai,85,CEO - David Luan,hello@adept.ai,,Company Website,High
Character.AI,character.ai,150,CEO - Noam Shazeer,support@character.ai,,Company Website,High
Replicate,replicate.com,65,CEO - Ben Firshman,team@replicate.com,,Company Website,High
Pinecone,pinecone.io,200,CEO - Edo Liberty,hello@pinecone.io,,Company Website,High
Weights & Biases,wandb.ai,220,CEO - Lukas Biewald,contact@wandb.com,,Company Website,High
LangChain,langchain.com,70,CEO - Harrison Chase,hello@langchain.com,,Company Website,High
Anyscale,anyscale.com,180,CEO - Robert Nishihara,contact@anyscale.com,,Company Website,High
Baseten,baseten.co,90,CEO - Tuhin Srivastava,hello@baseten.co,,Company Website,High
OctoML,octoml.ai,110,CEO - Luis Ceze,info@octoml.ai,,Company Website,High
Snorkel AI,snorkel.ai,140,CEO - Alex Ratner,info@snorkel.ai,,Company Website,High
Predibase,predibase.com,75,CEO - Devvret Rishi,hello@predibase.com,,Company Website,High
Modular,modular.com,95,CEO - Chris Lattner,hello@modular.com,,Company Website,High
Together AI,together.ai,85,CEO - Vipul Ved Prakash,hello@together.ai,,Company Website,High
MosaicML,mosaicml.com,70,CEO - Naveen Rao,hello@mosaicml.com,,Company Website,High
AI21 Labs,ai21.com,160,CEO - Ori Goshen,hello@ai21.com,,Company Website,High
DeepMind,deepmind.com,1000,CEO - Demis Hassabis,press@deepmind.com,,Company Website,High
Brain Corp,braincorp.com,400,CEO - Eugene Izhikevich,info@braincorp.com,,Company Website,High
Vicarious,vicarious.com,95,CEO - Scott Phoenix,info@vicarious.com,,Company Website,High
Covariant,covariant.ai,120,CEO - Peter Chen,hello@covariant.ai,,Company Website,High
Ambi Robotics,ambirobotics.com,85,CEO - Jim Liefer,hello@ambirobotics.com,,Company Website,High
Locus Robotics,locusrobotics.com,350,CEO - Rick Faulk,info@locusrobotics.com,,Company Website,High
Fetch Robotics,fetchrobotics.com,200,CEO - Melonee Wise,info@fetchrobotics.com,,Company Website,High
Rethink Robotics,rethinkrobotics.com,90,CEO - Daniel Theobald,info@rethinkrobotics.com,,Company Website,High
Figure AI,figure.ai,100,CEO - Brett Adcock,hello@figure.ai,,Company Website,High
1X Technologies,1x.tech,80,CEO - Bernt Børnich,hello@1x.tech,,Company Website,High
Apptronik,apptronik.com,75,CEO - Jeff Cardenas,hello@apptronik.com,,Company Website,High
Sanctuary AI,sanctuary.ai,150,CEO - Geordie Rose,hello@sanctuary.ai,,Company Website,High
Agility Robotics,agilityrobotics.com,120,CEO - Peggy Johnson,hello@agilityrobotics.com,,Company Website,High
Boston Dynamics,bostondynamics.com,400,CEO - Marc Raibert,info@bostondynamics.com,,Company Website,High
Nuro,nuro.ai,800,CEO - Jiajun Zhu,hello@nuro.ai,,Company Website,High
Waymo,waymo.com,2500,CEO - Tekedra Mawakana,hello@waymo.com,,Company Website,High
Cruise,cruise.com,1800,CEO - Marc Whitten,hello@getcruise.com,,Company Website,High
Zoox,zoox.com,2200,CEO - Aicha Evans,hello@zoox.com,,Company Website,High
Aurora,aurora.tech,1600,CEO - Chris Urmson,hello@aurora.tech,,Company Website,High
Pony.ai,pony.ai,700,CEO - James Peng,hello@pony.ai,,Company Website,High
WeRide,weride.ai,600,CEO - Tony Han,hello@weride.ai,,Company Website,High
AutoX,autox.ai,1000,CEO - Jianxiong Xiao,hello@autox.ai,,Company Website,High
